Nombre,Curso,Notas
Alberto,Historia,15
Diana,Inglés,12
Héctor,Química,18
Laura,Arte,9
Sofía,Historia,20
Pedro,Inglés,7
Mariana,Química,13
Raúl,Arte,8
Elena,Historia,
José,Química,
Elena,Historia,
Mariana,Química,13
Alberto,Historia,17
Laura,Inglés,
Diana,Inglés,10
José,Química,16
Pedro,Historia,
Diana,Inglés,15
Héctor,Arte,12
Sofía,Historia,7
Pedro,Inglés,9
Laura,Inglés,17
Sofía,Historia,13
Alberto,Historia,1
Mariana,Química,15
Diana,Inglés,10
Sofía,Historia,12
Héctor,Arte,1
Carla,Química,9
José,Arte,1
Diana,Inglés,1
Carla,Química,15
Laura,Inglés,16
Diana,Inglés,5
Mariana,Química,11
Pedro,Historia,9
Alberto,Historia,5
Pedro,Inglés,12
Elena,Historia,18
Raúl,Arte,18
Elena,Historia,10
Mariana,Química,7
Elena,Historia,
Mariana,Química,20
Pedro,Historia,14
Laura,Inglés,12
José,Arte,5
Sofía,Historia,7
Elena,Historia,1
Elena,Historia,17
Alberto,Historia,1
Sofía,Historia,10
Raúl,Arte,9
Elena,Historia,2
Laura,Inglés,8
Pedro,Historia,17
Raúl,Arte,5
José,Arte,11
José,Química,16
Laura,Inglés,8
Diana,Inglés,
Sofía,Historia,9
